AttractionId,Attr_AvgRating,Attr_VisitCount
369,3.4151898734177215,2765
481,4.275665399239544,2104
640,4.267085922109411,13198
650,3.97634691195795,3044
673,3.800617707618394,2914
737,4.19480906921241,3352
748,4.157523645743766,5815
749,3.895433789954338,2190
824,4.219410538850848,3359
841,4.646601337688598,6429
877,4.027777777777778,36
888,4.611548556430447,381
897,3.963636363636364,55
913,4.092592592592593,54
920,4.318181818181818,44
928,4.571428571428571,28
937,3.578125,64
947,4.698795180722891,83
949,4.032258064516129,31
975,4.2075471698113205,53
1133,4.503703703703704,135
1137,3.8461538461538463,130
1166,3.869335347432024,1324
1171,4.079194630872483,2235
1220,4.180371352785146,377
1225,3.9362745098039214,204
1238,4.1246684350132625,377
1278,4.2566462167689165,978
1280,3.8150134048257374,373
1297,3.5388471177944862,798
