UserId,ContinentId,RegionId,CountryId,CityId,City,CountryId_geo,Country,RegionId_geo,Region,ContinentId_geo,Continent
14,5,20,155,220,Lagos,27.0,NIGERIA,5.0,West Africa,1.0,Africa
16,3,14,101,3098,Jakarta,101.0,Indonesia,14.0,South East Asia,3.0,Asia
20,4,15,109,4303,Gold Coast,109.0,Australia,15.0,Australia,4.0,Australia & Oceania
23,1,4,22,154,Meyerton,22.0,South Africa,4.0,Southern Africa,1.0,Africa
25,3,14,101,3098,Jakarta,101.0,Indonesia,14.0,South East Asia,3.0,Asia
26,5,21,163,4485,Kettering,109.0,Australia,15.0,Australia,4.0,Australia & Oceania
27,5,17,130,6107,Poznan,130.0,Poland,17.0,Central Europe,5.0,Europe
28,2,9,54,2193,Olinda,54.0,Brazil,9.0,South America,2.0,America
29,3,14,101,3013,Bali,101.0,Indonesia,14.0,South East Asia,3.0,Asia
32,3,14,101,3013,Bali,101.0,Indonesia,14.0,South East Asia,3.0,Asia
33,5,21,162,7639,Amstelveen,162.0,Netherlands,21.0,Western Europe,5.0,Europe
34,1,4,22,167,Paarl,22.0,South Africa,4.0,Southern Africa,1.0,Africa
37,5,21,158,721,Belgium,51.0,United States,8.0,Northern America,2.0,America
39,4,15,109,4940,Perth,109.0,Australia,15.0,Australia,4.0,Australia & Oceania
42,3,14,106,3551,Singapore,106.0,Singapore,14.0,South East Asia,3.0,Asia
48,4,15,109,4940,Perth,109.0,Australia,15.0,Australia,4.0,Australia & Oceania
51,4,15,109,4940,Perth,109.0,Australia,15.0,Australia,4.0,Australia & Oceania
52,4,15,109,535,Sydney,48.0,Canada,8.0,Northern America,2.0,America
54,5,21,163,8687,Nottingham,163.0,United Kingdom,21.0,Western Europe,5.0,Europe
56,2,8,48,302,Abbotsford,48.0,Canada,8.0,Northern America,2.0,America
57,5,21,163,9111,Wolverhampton,163.0,United Kingdom,21.0,Western Europe,5.0,Europe
59,5,20,150,692,Athens,51.0,United States,8.0,Northern America,2.0,America
60,1,3,14,52,Cairo,14.0,Egypt,3.0,North Africa,1.0,Africa
61,4,15,109,535,Sydney,48.0,Canada,8.0,Northern America,2.0,America
65,2,8,51,800,California Desert,51.0,United States,8.0,Northern America,2.0,America
67,2,9,54,2208,Sao Leopoldo,54.0,Brazil,9.0,South America,2.0,America
70,5,21,163,8652,Newcastle upon Tyne,163.0,United Kingdom,21.0,Western Europe,5.0,Europe
72,4,15,109,4070,Coffs Harbour,109.0,Australia,15.0,Australia,4.0,Australia & Oceania
79,3,14,103,3354,Kuala Lumpur,103.0,Malaysia,14.0,South East Asia,3.0,Asia
83,2,8,48,573,Whistler,48.0,Canada,8.0,Northern America,2.0,America
85,4,16,115,5666,Wairarapa,115.0,New Zealand,16.0,Oceania,4.0,Australia & Oceania
90,3,12,85,2558,Hebron,85.0,Palestine,12.0,Middle East,3.0,Asia
92,5,21,163,426,London,48.0,Canada,8.0,Northern America,2.0,America
94,4,15,109,3755,Australind,109.0,Australia,15.0,Australia,4.0,Australia & Oceania
97,2,8,51,859,Chicago,51.0,United States,8.0,Northern America,2.0,America
98,3,14,106,3551,Singapore,106.0,Singapore,14.0,South East Asia,3.0,Asia
102,4,15,109,3915,Brisbane,109.0,Australia,15.0,Australia,4.0,Australia & Oceania
103,1,4,22,106,Cape Town,22.0,South Africa,4.0,Southern Africa,1.0,Africa
112,3,13,93,2819,Mumbai,93.0,India,13.0,South Asia,3.0,Asia
113,5,17,125,6000,Sonthofen,125.0,Germany,17.0,Central Europe,5.0,Europe
116,3,14,101,3098,Jakarta,101.0,Indonesia,14.0,South East Asia,3.0,Asia
117,5,19,142,6512,Helsinki,142.0,Finland,19.0,Northern Europe,5.0,Europe
118,4,15,109,3915,Brisbane,109.0,Australia,15.0,Australia,4.0,Australia & Oceania
119,3,11,69,2282,Hong Kong,69.0,China,11.0,East Asia,3.0,Asia
122,4,15,109,1434,Melbourne,51.0,United States,8.0,Northern America,2.0,America
125,4,15,109,4303,Gold Coast,109.0,Australia,15.0,Australia,4.0,Australia & Oceania
129,2,8,51,950,Denver,51.0,United States,8.0,Northern America,2.0,America
131,4,15,109,3881,Bonbeach,109.0,Australia,15.0,Australia,4.0,Australia & Oceania
133,4,15,109,4940,Perth,109.0,Australia,15.0,Australia,4.0,Australia & Oceania
137,3,14,101,3098,Jakarta,101.0,Indonesia,14.0,South East Asia,3.0,Asia
139,3,14,101,3208,Pontianak,101.0,Indonesia,14.0,South East Asia,3.0,Asia
